formula,energy
Mg4O8V4,-2.194100265625
O12Te2W2,-1.7429130309375005
Fe2N4Zn4,0.04527953204800071
O14P4V2,-2.5446634783035704
CaFe2O12Si4,-2.9442130759210534
Bi4Ca2O12Pr2,-2.445804283000001
CaMn2O14P4,-2.659788079785306
Cr8Mg12O48Si12,-2.977184690625001
Ca4Fe2O10Y2,-3.0039478106944446
Mo2O4,-0.0902279624999996
Ca2Mo4O8,-2.400426466785715
AlBaCuNiO5,-1.768409042916666
O3SnY,-2.18913485975
Ca2O26P6W6,-2.4297867720089292
Ca2O8Sn4,-2.2356522653571425
Ca6Mo12O24,-2.178080920357143
Cu6O42W12,-1.6985052855416654
Cu4Mg4O8,-1.764297820625
N2Sb2,0.21692199631
Ba12Cu12O60Y20,-2.808931913125
Ca3Fe2O12Re2,-2.500481329605264
Ca3Fe2Mo2O12,-2.499724329342105
Ca8O24Ti8,-3.5727854288333334
O14P4Sn2Zn2,-2.3600876052759743
O16Ti6Zn4,-2.948373305
Mn12O24,-1.7165454803199998
Mo12O42Y4,-2.10609863900862
As8Ca4Co4O28,-2.0705611319318176
As8O28W4,-1.766085486875
Ag4Bi4Mg4O20,-1.4036440451562502
Mg2O12Pr2W4,-2.4873680247500003
As8Ni4O28,-1.133188398875
Bi8Fe8Mg8O40,-1.806338441875
Cu8O32V8Zn4,-1.8055483080769232
MgMo6O16,-1.9577821182608697
Al2Ba2O14Sn8,-1.9968543156730767
Bi2Ca4O12V2,-2.760228912250001
As8Ca6Cu6O32,-2.0382940322115384
Al5CuSe8,-0.7608344541964291
Cr4O14Zn2,-1.6078411663750003
Ba4Bi4F28,-2.8547797912033333
Mo4O14Zn2,-1.939927728875
O14W4Zn2,-1.891813290875001
Ca2Cr4O14,-2.025742898625
Ca2Ni8O12,-1.2712179100000005
Ni6O28P8Zn2,-2.155079385275973
Ca4O40Si16Sn4,-3.0886641901562504
Cr6Mg2O28P8,-2.58474866413961
Ca2O14V10,-2.3993887100961544
Al2Cr2Cu4O14Sr4,-2.2727276141346153
Ca2Co10O14,-1.5620188266346144
Ca4O8V4,-2.364924415625
Ni4O8Zn2,-1.0811474892857142
Ca4O8Ti4,-2.8012381697916666
Ba4Ca2Cu6F28,-2.8970745882079987
Bi4O20Te4,-1.1622688630357136
MgO8Sn4,-2.0445628530769224
O8W4Zn2,-1.2994312264285721
As8O28W4Zn4,-1.719048076250001
Cu2N4Zn4,0.13332358804799965
O36Sn10Te6Zn8,-1.6459157332500003
Mg4O8V4,-2.306656714999999
Bi10O36Te6,-1.4271886939423082
Ca3Fe4O24W6,-2.2574047416891903
Mg2O24P8W2,-2.4797242429761903
Co4O40Si16,-2.715938061166667
AlBi4Cu3O12,-1.20494472325
Ba4Cu2F28Mg2Mo4,-3.2344701213330005
Bi4Ca2O20P4,-2.3524303499523795
O16Ta4Ti2Zn4,-2.754981994358974
AlBaCuMoO5,-1.9567021929166664
O8V4,-2.3248233608333333
AgAlO3,-0.28335194475000025
CaCr2F12,-2.7401916447853334
Ca8Mn8O48Si16,-3.0968210394709996
Ba2Mo8O14,-1.557468917395834
BaBi4CaO8,-1.9753952169642848
Ca4Ni4O8,-1.7881129881249995
CaO8Sb4,-1.6847240228846143
Ni2O14P4Zn2,-2.251662319366882
Mg6Mo12O24,-2.224071606428572
Bi6Fe4O24Zn3,-1.4466521874324323
AlF5V,-3.4867527044214284
Ca3Fe4Mo6O24,-2.2682942092567564
O12Sb2W2Zn4,-1.7264456072500007
Ca4O12Sb2W2,-2.509530097750001
Mg2O10Sn4,-2.05813862953125
Ni2O24P8,-2.1682461763865546
Cr4Mg4O8,-2.25498209375
Cr2O12Si4,-2.7632319102777765
Co6O28P8Zn2,-2.2628130684577914
Cu4O14Sr4V2,-2.024450006979166
Ba6Cu6O21Tl3Y,-1.7561179946283787
Ca2Mn8O30Si10,-2.9447743910036004
Ba4CaCu2F28Fe4,-3.1049482823287176
Fe10O14Zn2,-1.7023725387500002
Ca2O18Ti8,-3.4513654111011918
O2W,-1.7553284508333344
O8V4Y2,-2.712391632142858
Cu4Mg2O8,-1.4177036671428571
Al2Co4O8,-1.7710088064285705
Al2Cr4O8,-2.1363364035714287
Fe2Mg4N4,-0.6115827109519998
Mn4O12Y4,-3.0270876969419995
Ag4Ca4O10,-1.630349909027777
Ca4Cu4O8,-2.0349955431249995
Ga2Mn4O14Sr4,-2.3022407183891667
Cr4O8Y2,-2.632356795
Mn4O8Y2,-2.570435094559999
Cr2La2O12Sn2Zn2,-2.47641051125
Ca4O10Sn4,-2.4574540001388883
Mo2O14P4,-2.44979070580357
Bi4Ca4O10,-2.239720298472223
Ca2Co2Ge4O12,-2.3069795489999994
Ge8Mg4Ni4O24,-2.1197338557500003
Ge4O12V2,-2.169174845833333
Fe4O8Zn2,-1.7821827000000008
Cr4F20Zn4,-2.8100306254928573
Ge4Mg2O12V2,-2.361397334750001
FeMg2O6W,-2.487135841750001
F20Mg4Mn4,-3.2027745195585706
F20Fe4Mg4,-3.1868841308499998
F20Mg4V4,-3.4402179197785716
Ca4F20W4,-3.267963921207143
CaCr4Cu3O12,-1.8925995991250004
O6TiWZn2,-2.3025618584166665
Co4Mg2O12Pr2,-2.1684904887500003
Ca4F20Mo4,-3.4379297337071426
Ca4Co4F20,-3.1081824294214284
Co4O12Pr2,-1.6412660519444442
Ca4F20Mn4,-3.4242802734871423
Fe4O8,-1.4180418175000007
Ba2Fe3O8Y,-2.6071106085714293
Ba6F33Ti6Y3,-3.771655093422291
O8TiW2Y,-2.6756230647222217
AlFeO8W2,-2.259640129166666
O8W3Y,-2.2964371574999998
Ca4Cr4F20,-3.567070815492857
O18W8Zn2,-1.6595100636607143
Ca4Mn2Nb4O16,-3.053901623150768
Al2Mn4O8,-2.4503911788457136
Ni4O8Y2,-1.8321039564285715
Mn6Nb4O18Zn2,-2.503642444608666
Fe12O24Zn6,-1.8723157192857147
Ni2O16P4Sr2Zn,-2.464480294942857
Cu3O24W6Y,-1.871404226470588
BaCuO5Re,-1.81976439296875
C4K4O8,-1.9178005504375
Al4Mn12O48Si12,-2.5711243896252634
Ba3Ni3O15Y4,-2.4481768139500004
O8Ti4Zn,-3.117111920897436
Bi2Cr2La2Mg2O12,-2.5027908337499998
Al2Fe4O14Sr4Y2,-2.90816437375
Ba2O12Tl2W4,-1.7947706897499998
O28P8Ti6Zn2,-2.6043344220941558
Co2Cr2La2O12Zn2,-2.1882130037500005
F10Ti2Zn2,-3.160991564659525
Al2O6V2,-2.6651018277500014
Al4Mn4O14,-2.264136630060909
Ca4O40Si16V4,-3.1448214412499995
Ca4Co4O40Si16,-3.0665395181250004
Mg4O36P8Ti8,-2.9877732140263595
Al2Cr2O6,-2.533818367749999
Bi4Fe4Mg4O20,-1.8961876485937497
Al2O6Sb2,-1.80321630975
O6Te2,-0.6537280471875002
Ni2O12Sb2Zn4,-1.47962713175
Ca4Mo2O12Sb2,-2.6107522587500007
Mg2O20P4W4,-2.4122073977857146
Ca6O28Si8Ti4,-3.356117596666667
Mg4Mo4Ni4O36P8,-2.420787084323979
Bi2Mg4O12Ta2,-2.695400272250001
O40Si16Ti4Zn4,-2.878835454635417
Cu2Mg4O12Ta2,-2.518181547750001
O24V12,-2.3216267177777765
Mg2O14P4Sn2,-2.6384479780032475
CaCo2O14P4,-2.4553887511224484
FeO8W2Y,-2.46749328
Fe4Mg2O8,-2.114014418571428
Mn6O18Y4,-2.4048351756521416
MnO8W2Y,-2.5248644025799982
Cr4Ho2O12Zn2,-2.51795470925
Ca2O12Sb4,-2.2113574250000005
Cr2O14P4Zn2,-2.473453908457792
NiO3Y,-2.17161751675
As8Ni6O32Zn6,-1.549819473846153
Co8Mg4O16,-1.6983094657142854
O12Sb4Zn2,-1.7850137397222217
CaMn4S8,-1.1951740476923085
As8Bi4O28,-1.4726207953749983
Ca8Cu16O32,-1.4627064978571422
CrO6W,-1.6971565946874998
Cr2Ir2Mg4O12,-2.18197054175
Ir2Mg4O12V2,-2.2465899072499997
Ca2O6TiW,-2.9891546789166674
Ca2CuO6W,-2.3722018992500002
Mg4O12Sb2Ta2,-2.68292283725
Mg4O28P8W4,-2.4141350130032473
Cu2N2Zn,0.4955975760480002
Cl2O16Se4V6Y2,-1.9903033563631671
Ca6Ga4Mn4O20,-2.4746587398188242
Cr4Ni4O36P8,-2.006969562348901
Cl2Fe6O16Se4Y2,-1.9371291146965008
Al2Cl2O16Se4Ti6,-2.288593440029834
MgN2Sn2,-0.1899598669519989
Co8Mg8Mn16O56,-1.645329278015454
Bi6Ca4O16,-2.020773554230769
Cu2O14P4Zn2,-2.214592723003247
As4Cu4O20Zn4,-1.3803387995312502
BaMn4O8,-1.8369901679876917
Ba2Mn3O8Y,-2.6924534794914288
Ni4O12Pr2Zn2,-1.5889884867500002
Mo4O12Pr2Zn2,-2.3882777667499995
Bi8O36P8Zn4,-2.1805900402168383
O24Sb12Zn6,-1.6502038283333331
Bi4O28P8,-2.2388843563035716
Al3Ba6Cr6F33,-3.6178545342556236
Mg4O16V6,-2.6736911950000004
Ag8O32P8,-1.6114374666071418
Mg4Mn6O16,-2.2425181425292307
As8Co4Mg4O28,-1.951572420568182
Cr9O13Zn2,-1.9903018010937492
As8Mg6Ni6O32,-1.893438811538462
Bi8Mg8Ni8O40,-1.3737930103125002
Ca6Co2O12Rh2,-2.3954416604545457
Mo4O8Zn2,-1.6782875635714285
Ba4Ca4F28Ti4,-3.957581517499667
Co2Ge4O12Zn2,-1.9014288942499995
Mg6Ni4O14,-1.7506250886458332
Bi6Cl2O16Se4,-1.2607463982462497
Mg12O48Si12Ti8,-3.144662196291667
Cr2Ge4O12,-1.9769111569444449
Mg2Mo4O10,-2.0365426045312507
Ca2Ni2O24P8,-2.666616287281746
CaO3W,-2.4431712862499992
Co2S4,-0.4807421360416673
Mo2S4,-0.661525956041667
S4Sn2,-0.7543718410416655
S4W2,-0.5131662877083336
S4Ti2,-1.4914836415972241
Co2O16Ta4Zn4,-2.564826897692308
Ca2Fe2O24P8,-2.7722728689484133
Ca2Mn6O28P8,-2.7542875339296105
Mg4O16Ta4V2,-3.1225171788461523
Ho2O12V4,-2.814101279722223
Cu2GeSe4,-0.16608024419642828
Co8Mg8Mo16O56,-2.0134710668181808
Mg4Ni2O16Ta4,-2.9263609238461536
O16P4Sr2Ti2Zn2,-2.787459856996337
As4Cu2O16Zn3,-1.5025060341999994
Fe2Mg4O16Ta4,-3.0588800530769222
Co2Mg4O16Ta4,-2.9882888823076934
Al8Fe6O24,-2.387373974210527
Ca2Fe6O26P6,-2.591551627258929
Cr2O7Sr2TlY,-2.6116783841346156
CaFeLa2O6,-3.0166030344999997
AlMn2O7Sr2Tl,-2.2446195104361535
Ag2Ca2F10,-2.549138189064286
Al4Bi4O12,-2.33275309575
Co4Se8,-0.2539733023958337
Ba6F33Ni6Y3,-3.4243854109222918
Mg2Ni2O10Si2,-2.10872761578125
Ca6Cu12O24,-1.481102519166667
Ca6Cu4O28Si8,-2.822828465652173
Mg2O10P2V2,-2.803581867299106
Cu12O48Si12Y8,-2.490802356625
Mg6O24W12,-1.7718404285714289
Fe6O18Y6,-2.9375340957499985
F20W4Zn4,-2.534098528707143
O32Ti16Zn8,-2.787178179583333
F20Mo4Zn4,-2.7015722572785714
F20Mg4Mo4,-3.220663457992857
Mg6Mn4O28Si8,-2.9208059519313045
BaCaO8Sn4,-2.1663334483928574
CrO8W2Y,-2.5110531025
Mn6O26P6,-2.287145338450451
Mo8O18,-1.9773085470192309
Cu4O8Zn4,-1.163775518125
O20P4Sb4Zn2,-2.1304418997857133
Ca4O12Sn2Ta2,-3.0064794352499997
Ba2CaCu4O12Tl2,-1.4611337624999996
Bi4O8,-1.300602876666667
Bi2F10,-2.022363659325
Co4O12Y4,-2.642066481750001
Ba2O14W8,-1.243631335729166
Ba2Co3O7,-1.7036428148958322
Ca4O16Sb6,-2.1939632169230774
Ca2Fe2La2O12Sb2,-2.7700312590000005
AlBaCuO5Ti,-2.484759641435186
Co8Mg8Ni16O56,-0.6881633499999996
O42V12Y8,-2.8025335353629033
Ca12Fe2N10,-0.9410872559916672
Fe2La2Mn2O12Zn2,-2.314606740346
Al8Bi4Se16,-0.7421512934821425
Al2Cu2S4,-1.14396975328125
Mo8O12,-1.60867762675
BaCr4MgO8,-2.2010563257142857
Ca6Co2O12Sc2,-3.0477772086363637
Ho2O12W4Zn2,-2.272089867750001
Ca4Nb4O16W2,-2.8193008973076914
O28P8V6Zn2,-2.496195826185065
Cu2GeS4Zn,-0.7810267757812506
O8ReW2,-1.735541691590909
Co2O16W4,-1.7056441754545466
Mn2O24P8,-2.3887004999724364
Ca2Co9O13,-1.615247974218749
Mg4Nb4O16Ta2,-2.9880569546153835
Bi2Mg4Nb4O16,-2.73817962
Co4Mg4O8,-1.99410639375
Ca2O13W9,-1.170304217968751
Mg8O36Te6Ti10,-2.6777535298611106
La2O6SnZn,-2.9202753707499998
BiCaLa2O6,-3.0035881580000003
Cr6O24Y4,-2.367152718823529
CaFe2N2,-0.09573443845199987
AlO3Sb,-1.2863096297500007
Ca2O8Sn3,-2.5711506830769224
Ca6Mn12O24,-2.39712118206
Ga2O14Sr4V4,-2.5633423173958323
Ca2O12Sn8,-1.81617079
Co4O14Sr4Y2,-2.3638820623958328
Co8Mg4O32P8,-2.440172889752747
Ca4Cu8O32Te8,-1.5487774869230764
O8Sb4Zn,-1.463282387307692
Fe8O18Zn2,-1.28486654294643
Cr2O16P4Sr2Zn2,-2.72926077456044
Ca2Co2O16P4Sr2,-2.947904615521978
AlBa2O7TlV2,-2.3933724187499994
Mo2O16P4Sr2,-2.7332367016071424
Ca2Ni2O16P4Sr2,-2.8796079447527467
Nb4O16W2Zn4,-2.2960595096153846
Mg2O20P4Sn4,-2.4417705501190485
O8V4Zn4,-1.8502187218749988
Mg2Mo4O14,-2.193527069375
As4O20W4Zn4,-1.7367427510937503
Al4O24Ti12,-3.2682033862500006
Bi12O30P4Zn2,-2.0702744613764867
Bi2F10Zn2,-2.6400340544214287
AlBa2Cu3O7,-1.8695914622115384
Mg4O28P8Sn4,-2.6644368455032463
Cr2La2O12W2Zn2,-2.44899910625
Mg2O12Ti8,-3.0373548785606053
Ba4Cu6F28Zn2,-2.6197378968330005
Mg2O12Si4V2,-3.0119071107500006
Co2Mg2O12Si4,-2.8505986397500003
Mg2Mn2O12Si4,-3.004659529346
Ca2Cr2O12Si4,-3.0788578810000016
Mg2Ni2O12Si4,-2.776929930250001
Al2Ca4O10V2,-3.183013524027777
Cr2Mg2O12Si4,-2.9594614537499995
Al4Ca12Sb12,-0.836959962857143
Mo6O16Sc2Zn2,-2.323968644999999
Ca2Fe2Ge4O12,-2.3980585490000004
O20P4Sn4Zn2,-2.2248962804523797
Ba2Mo2O7Tl,-2.1049882078125
Ba2Ni2O7TlY,-2.0272077441346146
O18W8Zn2,-1.6598407872321428
Ca2O12Si4V2,-3.1438559210000014
Co4Mg6O28Si8,-2.7457748616304345
MgO8Sb4,-1.556160056153846
Mg4Mn2Nb4O16,-2.9553864985353844
O12Sb8,-1.5060076377499996
O8Sn4Zn,-1.7865608949999998
F8Sn2,-2.599385203952
Bi4Ca2O10,-1.79497376859375
Mn12O36Y8,-2.5351019735092852
As4Co4Mg4O20,-1.8883395620312504
Bi4CaCu3O12,-1.4778904761250005
Mg2O12Pr2Sb4,-2.3597374547500007
Ca3Mn2O12W2,-2.594664824706316
Fe8O16,-1.4064501304166666
Ni2O4,-0.1956569391666664
Mg6O24Sb12,-2.013867344761904
Cr16Mg8O32,-2.4629729207142863
Mo2O16W4,-2.0753161113636365
Al10Cu6O24,-2.31916033425
Ag2O16W4Y2,-2.364553472916667
Fe2O12Sb2Zn4,-1.7960194692499996
Mo2O12Sb2Zn4,-1.7774882577500009
O16Ti2W4,-2.437157009242424
Ca2O20P4V4,-2.822688417952381
Ba4F28V4Zn4,-3.3493627970830007
CaFe3O12Ti4,-2.974767370458334
Ca4Mo4O10,-2.3650368890277798
Mg4O8Ti4,-2.843758170416667
Ca2O8Sb3,-2.249319312307692
CaCo4S8,-0.9508659415384622
Fe4Mg4O12,-2.0891318517499995
Bi2Ca4O12W2,-2.5624160717500004
Cu2Mg4O12W2,-2.26276761025
Bi2Ca4O12Sb2,-2.45536415325
Mg4O16Sn2Ta4,-2.9940949130769217
Cu2Mg4O16Ta4,-2.8731350784615386
Ba4F28Mg4Sb4,-3.468633162833
O24Sb12,-1.6848988936111111
AgMg2O6W,-2.158963134750001
Mg2Ni9O13,-1.16596998109375
Ni9O13,-0.5902405466477283
Mg6O14Sb4,-2.3269447069791678
Bi4Mg6O28Si8,-2.7482064192391307
Cu8O12Zn2,-0.962012300681818
O28Sb2Si2Sn13,-1.900156199555555
Al4Bi4Se16,-0.260680851145833
Cu3O12Ti4Zn,-2.439470094333333
Bi8O40V8Zn8,-2.0226820325
Fe4Mg3O24Sb6,-1.9476679562162158
Mg2Ni4O8,-1.2550114457142862
Mg4Ni8O16,-1.3641630728571426
Ca4Ni8O16,-1.5110848725000008
Ca4Nb8O16,-3.0361277121428563
Cr4Mg4O8,-2.21899504
Bi4Ga2O14Sr4,-2.2457707865625003
Be12Ca4O48Si12Ti8,-3.0631451639682545
CaS16Ti8,-1.8180632826333352
Mn2S4,-0.6923112293750009
BaBiCuO5Y,-2.3842326001388887
O24P8V2,-2.5320185307983203
O10P2V2,-2.5062735711989794
O16P4Sb2Sr2,-2.6464913378571424
Cu4Mg2O8,-1.3157340071428565
AlF5Ni,-3.0813505158500014
O14Ti10Zn2,-2.747920920160257
Ba4Cu2F28Fe4Mg2,-3.219853244583
AlF5Mn,-3.4967680817014286
Fe2O10P2Zn2,-2.2471240366741068
Ba4Cu2F28Fe4Zn2,-3.037091861333
F6MgV,-3.3125407883925004
O10Sn4Zn2,-1.7683439970312484
Mg2O24P8V2,-2.7431120224206347
Mn2O6Y2,-3.0294242059419982
Mg4O8Sn4,-2.092091544375
CrF6Mg,-3.1312707883924995
CrF6Zn,-2.6562470965175
Cu3Ge4O12,-1.5640175097368427
Co4O8Y2,-2.059850470714285
O12Sn2Ta2Zn4,-2.2076581072500003
O48Si12Sn12Y8,-2.881209118125001
Ca4O32P8W8,-2.1837929024450555
O12Ta2Ti2Zn4,-2.6125135884166677
Ge4O12Sb2,-1.915120423611112
Al2O16Te2W4,-2.0813996041666663
Ca6Co12O24,-1.8049326463095237
Bi4Mg4O20W4,-2.1384798173437503
Cu8Mg4O32Te8,-1.498647371538461
O36P8W8Zn4,-2.148904790752551
Bi2Ge4O12,-1.8407871969444443
Bi8Ca4O40V8,-2.1067346201666672
Mg4O12Ta2W2,-2.7636320427499994
Mg4O12Te2W2,-2.1621663912500004
Cu2O12Si4Zn2,-2.433933272250001
Ca2Cu4O12Pr2,-2.094049017
Ca3Co2O6,-2.143022471818182
Cr2Mg4O12W2,-2.54287981725
Mn16O32Zn8,-1.9100723947385716
Ca2O12Pr2Sb4,-2.5133618515
Al2O16V2W4,-2.48169353875
Mn2O16W4Y2,-2.5709648863299983
O16Sn2W4Y2,-2.4377959199999992
O16V2W4Y2,-2.613560613333332
Co4O28P8Zn2,-2.2311103469557816
CrO8W2,-1.9809341209090896
Al2Bi2O16W4,-2.257075072916667
Al2O16W6,-2.2979298587500003
Ir2Mg4O12Ti2,-2.559500001416667
Mn6O26P6Zn2,-2.3498358565279283
Mo8O18Zn2,-1.6684340304464282
As4Ca4Mn4O20,-2.34958106183875
Co2Mg2O14P4,-2.605771080275974
Ag8Mg4O16,-0.9636812399999992
Ba2Co3O8,-1.5764280707692315
NiO8W2,-1.5475691081818184
O32Sb16,-1.680412058333334
Ca2O28P8W6,-2.1948930837987017
Ca3Fe4O24V6,-2.4810884822297297
Ca6O24V12,-2.761632460595238
Ba2O14Ti8Y2,-3.0828836469551275
As8Mo4O28,-1.763548964374999
As8Cr4O28Zn4,-1.7864854721590897
Ca4Cu2Ir2O12,-2.03604837525
Co2O14P4Zn2,-2.3265970898214294
As8Mg4O28V4,-2.1389858628409075
BaCuO5WY,-2.3538102518055557
AlBaCuMnO5,-2.0937302163566662
BaCuNiO5Y,-2.2096215273611097
Co8O56Sb16Zn8,-1.637235942045454
O8Sb4Zn2,-1.4898743521428568
AlBaCuO5W,-1.95002250625
Al12Co6O24,-2.8787126192857144
Cu3O12Sn4,-1.6101927697368417
O24V12Y4,-2.79152232875
Ge12Mg12O48W8,-2.2291335186250003
Ca4Mn4O8,-2.5242144308649994
Ca2Cr2La2Mn2O12,-2.855282023596001
AlBa2Mo3O8,-2.288209949285715
Ho2Mg2O12Sn4,-2.58413052975
Bi2Cr2La2O12Zn2,-2.275363753750001
Bi4Ca6O14,-2.436767579270834
Fe12Mg6O24,-2.2401443950000006
Cu8Mg12O48Si12,-2.522734439375
Cr2O12Sb2Zn4,-1.91465857275
Bi2Cu4O14Sr4,-1.709373528645834
Ca6Ni4O14,-1.9581850426041665
F8Mg2V2,-3.328010964126667
Cu4O14Sb2Sr4Y2,-2.3699816299038465
Cu4Mg4O8,-1.7898337462499994
Bi2Cu4O14Sr4Y2,-2.33061864798077
Ca4Ni2O16Ta4,-3.0068450919230774
O28W12,-1.994475560625
Al4Co13O28Sb2Si2,-2.112734618673469
Cu3Mo4O12Y,-1.9598075267499997
Mn8O16Zn4,-1.8226084602742856
Ca4O16V8,-2.7870557789285724
Cu2O14Sr9Zn3,-2.429457243660715
Ca4Co2O12Ta2,-2.9271196377500006
Ca4Mo2O12Ta2,-3.1326618937500017
O13Ti9Zn2,-2.7593392694270835
Bi8O40Ti8Zn8,-2.2464850434895838
Mn2O12Ta2Zn4,-2.304403522346
O12Ta2V2Zn4,-2.444544908750001
Ge8Mg4O24W4,-2.093570312
Ca6O24Sn12,-2.302366247738095
Ca2O14P4Ti2,-2.925480931109308
As4O20Ta4,-2.302324567321428
Ag4AlCu3O12,-0.5924346682500001
Ge8Mo4O24,-2.0230197972222235
O28Si8W4,-2.480522422625
Ca2F8Ni2,-3.11276947621
Mg4O40Si16W4,-2.875138817031249
Ni2O10Si2Zn2,-1.7337997995312495
Cr2O12Si4Zn2,-2.692304958250001
Mg6O24Ti12,-3.1875680857142856
Ba2Fe8O14,-1.8546965465625
Fe2O12Si4Zn2,-2.66685385025
Ca2F8Ti2,-3.5720703031544447
Ca2O12Si4W2,-2.6082917380000006
Co2O12Si4Zn2,-2.57572291625
Ba4CaCu6O20Tl4,-1.4534182340714283
Bi8O40Ta8Zn8,-2.3722538953124985
Ba2Fe8O14Y2,-2.34505494221154
Ni2O12Si4Zn2,-2.5000706262500003
Ba2O14W8Y2,-1.5867381572115389
AlBa2O7W3,-1.7529704283653849
Cl2Mn6O16Se4Y2,-2.0436162058885
Al4Cu13O28Sb2Si2,-1.7787999025510204
Al2Ba2O14W8,-1.411910335673078
Al2Cu6O12,-0.8678843352499996
Co4Mg4O8,-1.99038134375
O16V8,-2.326999167083334
Ni4O8Zn2,-0.8505438192857143
Ca4Fe2O12Ta2,-3.10217071025
Bi6O26P6Zn2,-2.2178917421339293
Ni12O24,-0.4325941950000001
Bi8Mo8O40Zn8,-1.7998684139062495
Ga2O14Sr4Ti4,-3.002504595173612
Ga2O14Sb4Sr4,-2.3660169348958338
Ni3O8Zn2,-0.9350416530769224
AlBaCuO5Sn,-1.9876448790277768
Ca4Mn8O16,-2.4149967059885706
Ca4Cr8O48Si12,-2.5452752619444428
Cr8Mg4O48Si12,-2.4676186961111117
O14Sr4Ti4Y4,-3.270485345544872
Fe2La2O12W2,-2.590362973055556
Fe8Mg8O48Si12,-2.504552735131579
Ca2Fe2La2O12V2,-2.9467975430000015
Mn4O20P4Zn2,-2.104237312247047
Fe2La2O12V2,-2.443456433611111
Ag2Fe2La2Mg2O12,-2.0988626097500016
Ca4Mo8O16,-2.3306152635714295
Ho2Mg2O12V4,-2.9934583617500015
Mg4O48Si12V8,-2.718602058888889
Fe2La2Mo2O12,-2.5069730102777767
Fe2O24P8,-2.3879908402100845
Ca4O36P8V8,-2.9107745809311223
O16V8,-2.346914249166666
O28Sb12Zn4,-1.6271323117045453
Ge4Mg2Ni2O12,-2.1261306252500005
Ba2O8Ti3,-3.3235744830769227
Mn8O20Y4,-2.6489580988337487
Ca8Co4Nb8O36,-2.7458569290178576
Fe12O48Si12,-2.011063075694445
Ca6Mn4O14,-2.656276564014167
O4V2,-2.333728609166668
Cu2N2,1.3214843363100002
Nb4Ni2O16Zn4,-2.3344653119230774
O36P8W8,-2.3832409615796704
Ca8Fe10O36Te6,-2.150626252250001
Ca4Ni4O36P8Ti4,-2.8930722690858843
Mn2O12Si4,-2.682309558162222
Ba2Cr3O10Tl2Zn2,-1.8964296232894728
CaLa2O6W,-3.1512375895000004
O10Ta4,-3.3549456208928565
O16Ti8Zn4,-2.79554627654762
Al16Bi12Se48,-0.4160252885855263
As8Mg6O32V6,-2.145187357499999
Mg2Mn8O18,-1.6491206414349997
Ba2O8Sb3,-2.266256007307692
Ca2Mn8O18,-1.7575048944707157
Ba2Ni3O8Y,-1.965108485714286
Ba2Cu4Mg3O12Tl2,-1.7633597745652174
Ag4BaMgO8,-0.8875796842857139
Ca4Co4O8,-2.2184624687499994
